what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939559440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939560674
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1428939560681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939562433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939565305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939567732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939593880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939595678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939621711
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1428939621722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428939623198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428939626921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939630480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939704369
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1428939704375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939706986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939710495
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1428939710505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939727585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939760836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428939761928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939769424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939769511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939802630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939802709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939835109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939835223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939847491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939869537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939930725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428939950178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1428939990508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428939991702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1428940005003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428940006647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428940020184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428940055051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428940098998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1428940120645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428940129065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428940129179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1428940137043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428940139045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428940166502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428940176540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428940181637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428940181705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428940186683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428940199294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1428940222010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428940222940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428940239316
