what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428942692501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428942692576
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1428942696348
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1428942717077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428942749109
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1428942762871
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1428942785912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428942822662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428942866198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428942868288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428942868409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428942934972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428942938100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428942938196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428942941906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428942942004
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428942942784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428942955649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428942959083
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1428942965265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428942972999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428942983419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943009956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943012006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943051435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943052071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943370165
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1428943370176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943375863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943380916
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1428943380950
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1428943380988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943422673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943422810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1428943455851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1428943457918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428943458477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428943463372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428943477063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1428943482307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428943482803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428943490344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1428943520892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428943522511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1428943528129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1428943529481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428943530880
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1428943533523
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1428943556986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943578174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943612937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943636124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943636207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943639679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943639770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1428943642845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943652448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943699638
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1428943699646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943702010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943703757
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1428943703792
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1428943703827
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1428943704717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943708943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943714059
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1428943714062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943718899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428943722656
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1428943722659
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1428943724420
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1428943728737
